run_name	holdout	context_config	context_label	modalities	seed	best_epoch	best_validation_macro_f1	n_train	n_validation	n_test	n_train_contexts	n_validation_contexts	n_test_contexts	total_parameters	trainable_parameters	validation_loss	validation_accuracy	validation_balanced_accuracy	validation_macro_f1	validation_weighted_f1	validation_macro_ovr_auroc	validation_macro_auprc	validation_antagonism_precision	validation_antagonism_recall	validation_antagonism_f1	validation_antagonism_support	validation_antagonism_auroc	validation_antagonism_auprc	validation_no_interaction_precision	validation_no_interaction_recall	validation_no_interaction_f1	validation_no_interaction_support	validation_no_interaction_auroc	validation_no_interaction_auprc	validation_synergy_precision	validation_synergy_recall	validation_synergy_f1	validation_synergy_support	validation_synergy_auroc	validation_synergy_auprc	test_loss	test_accuracy	test_balanced_accuracy	test_macro_f1	test_weighted_f1	test_macro_ovr_auroc	test_macro_auprc	test_antagonism_precision	test_antagonism_recall	test_antagonism_f1	test_antagonism_support	test_antagonism_auroc	test_antagonism_auprc	test_no_interaction_precision	test_no_interaction_recall	test_no_interaction_f1	test_no_interaction_support	test_no_interaction_auroc	test_no_interaction_auprc	test_synergy_precision	test_synergy_recall	test_synergy_f1	test_synergy_support	test_synergy_auroc	test_synergy_auprc
unseen_both__context-expression_pathways__seed43__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways	Expression + pathways	expression+pathways	43	11	0.42204180008885217	125180	3899	16188	109	23	23	8522403	8522403	1.725494413627787	0.5691202872531418	0.45604212700969193	0.42204180008885217	0.6050484077621209	0.626060036247084	0.4165483981363018	0.2358974358974359	0.4389312977099237	0.3068712474983322	524	0.6172185467910658	0.21703392880701003	0.8219360568383659	0.6380558428128231	0.7184164564331458	2901	0.655637714588087	0.839322540806078	0.20535714285714285	0.2911392405063291	0.24083769633507854	474	0.6053238473620992	0.19328872479581724	1.8413973302348678	0.628304917222634	0.40840067767042093	0.4007635851570344	0.6458329699455476	0.6103311290391732	0.4034261895125362	0.16819719671338812	0.21914357682619648	0.1903199343724364	1588	0.511746144025396	0.1288076495481822	0.8164942985945373	0.750609458800585	0.7821668995300394	12306	0.6763766337745216	0.8645206733490487	0.20883820384889523	0.25544899738448124	0.22980392156862745	2294	0.642870609317602	0.21695024564037776
unseen_both__context-expression_regulons__seed43__druggroup-scaffold__drugtest-any	unseen_both	expression_regulons	Expression + regulons	expression+regulons	43	7	0.4619516430241733	125180	3899	16188	109	23	23	8729059	8729059	1.4121116798148456	0.5914337009489613	0.5136156142136618	0.4619516430241733	0.6309039553695927	0.6796904069079465	0.452924983630318	0.28061224489795916	0.5248091603053435	0.36569148936170215	524	0.6560081990387333	0.2614276119922251	0.8670411985018727	0.6384005515339538	0.7353583482231487	2901	0.7242148896206753	0.8778750089640361	0.22860791826309068	0.37763713080168776	0.284805091487669	474	0.6588481320644308	0.21947232993469276	1.6050534064250725	0.6307758833703978	0.4236711703440314	0.41183739334592606	0.6491064557637825	0.628547997042773	0.40449586981405466	0.18871925360474978	0.28022670025188917	0.22554485554992398	1588	0.5524440581760464	0.15228414044227187	0.8194679241925438	0.7484154071184788	0.782331705245275	12306	0.6503058534922586	0.8439992332256322	0.21458896179081435	0.24237140366172624	0.22763561924257933	2294	0.6828940794600141	0.21720423577425985
unseen_both__context-pathways_regulons__seed43__druggroup-scaffold__drugtest-any	unseen_both	pathways_regulons	Pathways + regulons	pathways+regulons	43	8	0.44754280347562325	125180	3899	16188	109	23	23	8478627	8478627	1.6367700732833577	0.6281097717363426	0.46455754103648683	0.44754280347562325	0.6513356407418212	0.6241684244490273	0.4105778670025169	0.30392156862745096	0.2958015267175573	0.29980657640232106	524	0.5526197342380548	0.20973241784327648	0.8316987053746567	0.7307824887969666	0.7779816513761468	2901	0.6886095527836092	0.8405469184821697	0.20714285714285716	0.3670886075949367	0.2648401826484018	474	0.631275986325418	0.18145426468210474	1.8294039109562072	0.6140968618729924	0.4156858064645497	0.403095111063222	0.6398097490604725	0.5979535084024351	0.38971370404950395	0.1796028880866426	0.2506297229219144	0.2092534174553102	1588	0.5604955833132051	0.1427564306823063	0.8260789035006483	0.724849666829189	0.7721606648199446	12306	0.63269583293875	0.8210023883453323	0.1962822936357908	0.2715780296425458	0.22787125091441113	2294	0.60066910895535	0.20538229312087308
unseen_both__context-expression_pathways_regulons__seed43__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways_regulons	Expression + pathways + regulons	expression+pathways+regulons	43	10	0.4125198102529947	125180	3899	16188	109	23	23	8752995	8752995	1.7531075367838274	0.601179789689664	0.42670441375385465	0.4125198102529947	0.6261815063919536	0.6108706032511225	0.40042961637910984	0.22895622895622897	0.2595419847328244	0.24329159212880144	524	0.5397099236641222	0.18999525220544766	0.8152689873417721	0.7104446742502585	0.7592558482225088	2901	0.6590967180828393	0.8348518146087469	0.1891891891891892	0.310126582278481	0.23501199040767387	474	0.6338051680064061	0.17644178232313504	1.6352392108404463	0.6643192488262911	0.42755878645308365	0.42410986019613767	0.6704459775061563	0.6344239111326336	0.4127604384019023	0.17630195891065456	0.232367758186398	0.20048899755501223	1588	0.5410695800697009	0.13366822806832132	0.8169166666666666	0.7966032829514058	0.8066321072986093	12306	0.6763756708652024	0.8620117539102485	0.27780429594272077	0.25370531822144726	0.2652084757347915	2294	0.6858264824629976	0.242601333227137
unseen_both__context-expression__seed44__druggroup-scaffold__drugtest-any	unseen_both	expression	Expression only	expression	44	5	0.44021243067956767	125180	3899	16188	109	23	23	8498467	8498467	1.2205088502109036	0.6683765067966145	0.44844759888397734	0.44021243067956767	0.6644439611143265	0.6692914457909103	0.4311145885093956	0.28415300546448086	0.3969465648854962	0.33121019108280253	524	0.7057732541702008	0.23057556685096864	0.8025499655410062	0.8028266115132713	0.8026882646906772	2901	0.6972977323139902	0.8623460180041591	0.26037735849056604	0.14556962025316456	0.18673883626522328	474	0.6048033508885398	0.2004221806730591	1.6351352526518868	0.6255250803063998	0.3857975945300482	0.37784001834375985	0.6421115986607171	0.5733625808279316	0.37459571681971754	0.13798219584569732	0.23425692695214106	0.17366946778711484	1588	0.4952805717539077	0.11377611800785505	0.820885079587196	0.7627173736388754	0.7907329401853412	12306	0.6445821007047408	0.8359907559714841	0.17881438289601556	0.16041848299912817	0.16911764705882354	2294	0.5802250700251462	0.17402027647981336
unseen_both__context-pathways__seed44__druggroup-scaffold__drugtest-any	unseen_both	pathways	Pathways only	pathways	44	2	0.4150837404568748	125180	3899	16188	109	23	23	8248035	8248035	1.1417406857028989	0.5129520389843549	0.47634060155008234	0.4150837404568748	0.569787104211928	0.6720167181124213	0.43643785170143884	0.2986348122866894	0.33396946564885494	0.3153153153153153	524	0.6542233531241165	0.23963181931701402	0.8725544997205142	0.5380903136849362	0.6656716417910448	2901	0.7168183315959737	0.8790469216923027	0.1732283464566929	0.5569620253164557	0.26426426426426425	474	0.6450084696171733	0.19063481409499985	1.0918338920912802	0.5894489745490487	0.45551415777217513	0.42358592019605257	0.6287679133796673	0.6693834194095182	0.41191716866447003	0.21122112211221122	0.28211586901763225	0.241574548395794	1588	0.6478110658707429	0.16265083414692516	0.8488396403930587	0.6598407281001137	0.7425018288222385	12306	0.6864788712994663	0.8445665575711341	0.21639635636525217	0.4245858761987794	0.2866813833701251	2294	0.6738603210583456	0.22853411427535106
unseen_both__context-regulons__seed44__druggroup-scaffold__drugtest-any	unseen_both	regulons	Regulons only	regulons	44	4	0.4082649776258464	125180	3899	16188	109	23	23	8454691	8454691	1.4550256976166516	0.6050269299820467	0.42022249195371547	0.4082649776258464	0.6267406068052468	0.6001285650337611	0.3922178505240175	0.1826625386996904	0.22519083969465647	0.20170940170940171	524	0.5101526717557252	0.16232529276342847	0.811167119038387	0.7211306446053085	0.7635036496350365	2901	0.6641804809204759	0.8318046268342514	0.22106824925816024	0.3143459915611814	0.259581881533101	474	0.6260525424250822	0.18252363197437269	1.5390822460600144	0.6216333086236718	0.40827186833309764	0.3945246464916761	0.6431922672235764	0.6264552245678974	0.3991399049862973	0.1503931847968545	0.2890428211586902	0.1978448275862069	1588	0.5510934534695145	0.1191423594148393	0.8246513720197931	0.7448399154883797	0.7827163656547543	12306	0.6658826700855809	0.8594002418063837	0.21672439386442355	0.1909328683522232	0.2030127462340672	2294	0.6623895501485968	0.21887711373766888
unseen_both__context-expression_pathways__seed44__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways	Expression + pathways	expression+pathways	44	3	0.41828648030963994	125180	3899	16188	109	23	23	8522403	8522403	1.3294930744856008	0.5385996409335727	0.4692821556074034	0.41828648030963994	0.5878669795856006	0.6374581445707941	0.417487344041273	0.22397769516728624	0.4599236641221374	0.30125	524	0.6288272547356517	0.20748745277736244	0.8592554818969913	0.5808341951051361	0.693130399012752	2901	0.6928773092548419	0.8573601758788845	0.20185614849187936	0.3670886075949367	0.26047904191616766	474	0.5906698697218886	0.18761440346757213	1.4780040386137268	0.5711020509019027	0.4061169794140791	0.38417392878293316	0.6118557424768675	0.5665228015583125	0.3723529612202086	0.14405940594059405	0.18324937027707808	0.16130820399113083	1588	0.46228205548462786	0.1117655038725823	0.8378574388727725	0.6571591093775394	0.7365880316968758	12306	0.6294520949683131	0.8131414132732708	0.19198405668733393	0.3779424585876199	0.25462555066079295	2294	0.6078342542219966	0.1921519665147728
unseen_both__context-expression_regulons__seed44__druggroup-scaffold__drugtest-any	unseen_both	expression_regulons	Expression + regulons	expression+regulons	44	3	0.4332673454604188	125180	3899	16188	109	23	23	8729059	8729059	1.4036595448679605	0.5816876122082585	0.4675509510677604	0.4332673454604188	0.6238837406917203	0.6230886334408617	0.4117047540427164	0.2565789473684211	0.37213740458015265	0.3037383177570093	524	0.5635125812835736	0.1988911350233203	0.8597367226509306	0.6528783178214409	0.7421630094043887	2901	0.7006740126236617	0.8589441044078898	0.19123931623931623	0.37763713080168776	0.25390070921985813	474	0.60507930641535	0.1772790226969392	1.417980568627531	0.5756733382752657	0.4397926841365479	0.4074844492759455	0.6170704582604135	0.6108073689287242	0.3901451814831261	0.18575233022636484	0.3513853904282116	0.24303135888501742	1588	0.5726020927504227	0.15749030201845923	0.8394945697577276	0.6532585730537949	0.7347591627821954	12306	0.6391934403602855	0.8186311452354349	0.20011086474501108	0.3147340889276373	0.24466282616062351	2294	0.6206265736754646	0.1943140971954841
unseen_both__context-pathways_regulons__seed44__druggroup-scaffold__drugtest-any	unseen_both	pathways_regulons	Pathways + regulons	pathways+regulons	44	13	0.44367145886545706	125180	3899	16188	109	23	23	8478627	8478627	1.6815588920658813	0.6268273916388818	0.4619448822002052	0.44367145886545706	0.6403420363465506	0.641621875432765	0.4238398083763872	0.25357873210633947	0.2366412213740458	0.24481737413622903	524	0.5764874187164264	0.2108015764255809	0.7989457831325302	0.7314719062392279	0.7637214324275688	2901	0.6449386190512704	0.8288643338985282	0.2625994694960212	0.4177215189873418	0.32247557003257327	474	0.7034395885305985	0.2318535148050524	2.1040185898181565	0.6559179639238942	0.3984803393571705	0.3983377762391011	0.6557994536034155	0.5902926094714825	0.38531027063376805	0.17165071770334928	0.18073047858942065	0.17607361963190185	1588	0.5667884993616508	0.1312394391497395	0.7985226073544931	0.7993661628473915	0.7989441624365482	12306	0.6060923230756696	0.8223696065935738	0.22485207100591717	0.2153443766346992	0.21999554664885326	2294	0.5979970059771273	0.20232176615799083
unseen_both__context-expression_pathways_regulons__seed44__druggroup-scaffold__drugtest-any	unseen_both	expression_pathways_regulons	Expression + pathways + regulons	expression+pathways+regulons	44	5	0.4286883812162774	125180	3899	16188	109	23	23	8752995	8752995	1.3813796346999034	0.604001025904078	0.4482135989861009	0.4286883812162774	0.6327990365866819	0.642551123923268	0.41869825013600437	0.21561771561771562	0.3530534351145038	0.26772793053545585	524	0.5746191687871077	0.19525330610315111	0.8304045770331018	0.7004481213374698	0.7599102468212415	2901	0.6962193950120166	0.8590201417663123	0.23232323232323232	0.2911392405063291	0.25842696629213485	474	0.6568148079706797	0.2018213025385498	1.5409871986361825	0.62039782554979	0.40397938390271065	0.39452302046325943	0.6432563875394648	0.5882729614846477	0.3873933657874729	0.14608971814211988	0.23173803526448364	0.1792062332602873	1588	0.4794604870432352	0.1182572384993916	0.8257644291659128	0.7417519908987485	0.7815068493150685	12306	0.6580911846656607	0.8510159227740147	0.20917782026768642	0.23844812554489975	0.22285597881442248	2294	0.6272672127450473	0.1929069360890124
unseen_both__context-expression__seed45__druggroup-scaffold__drugtest-any	unseen_both	expression	Expression only	expression	45	6	0.42977588553272933	125180	3899	16188	109	23	23	8498467	8498467	1.6083991832383384	0.599640933572711	0.45156609031683814	0.42977588553272933	0.6286224465614573	0.6170184854115701	0.39789946525027237	0.2889344262295082	0.26908396946564883	0.27865612648221344	524	0.5539915182357931	0.20652172916425224	0.8224948875255623	0.6932092381937263	0.7523381967826412	2901	0.6501225477497566	0.8091538765628421	0.19254658385093168	0.3924050632911392	0.25833333333333336	474	0.6469413902491608	0.17802279002372273	1.6221538947958225	0.603409933283914	0.3992604749546538	0.38980490312911903	0.6293916357108639	0.5745972704625011	0.3824071770933893	0.12432795698924731	0.23299748110831234	0.16213847502191062	1588	0.45527852299782623	0.10617274564989321	0.8102578218185155	0.7176174223955794	0.7611290670114199	12306	0.6168970343481477	0.8228606520800374	0.245136186770428	0.24716652136006975	0.24614716735402647	2294	0.6516162540415293	0.21818813355023722
