holdout	seed	context_config	context_label	test_macro_f1_baseline	test_macro_f1_context	test_macro_f1_delta_vs_baseline	test_balanced_accuracy_baseline	test_balanced_accuracy_context	test_balanced_accuracy_delta_vs_baseline	test_macro_ovr_auroc_baseline	test_macro_ovr_auroc_context	test_macro_ovr_auroc_delta_vs_baseline	test_macro_auprc_baseline	test_macro_auprc_context	test_macro_auprc_delta_vs_baseline	test_antagonism_f1_baseline	test_antagonism_f1_context	test_antagonism_f1_delta_vs_baseline	test_antagonism_auroc_baseline	test_antagonism_auroc_context	test_antagonism_auroc_delta_vs_baseline	test_antagonism_auprc_baseline	test_antagonism_auprc_context	test_antagonism_auprc_delta_vs_baseline	test_no_interaction_f1_baseline	test_no_interaction_f1_context	test_no_interaction_f1_delta_vs_baseline	test_no_interaction_auroc_baseline	test_no_interaction_auroc_context	test_no_interaction_auroc_delta_vs_baseline	test_no_interaction_auprc_baseline	test_no_interaction_auprc_context	test_no_interaction_auprc_delta_vs_baseline	test_synergy_f1_baseline	test_synergy_f1_context	test_synergy_f1_delta_vs_baseline	test_synergy_auroc_baseline	test_synergy_auroc_context	test_synergy_auroc_delta_vs_baseline	test_synergy_auprc_baseline	test_synergy_auprc_context	test_synergy_auprc_delta_vs_baseline
unseen_both	45	regulons	Regulons only	0.3828599599015674	0.42527838975631926	0.04241842985475186	0.4113674356525687	0.44385355732598103	0.032486121673412305	0.5771812161762996	0.6213523333086308	0.04417111713233124	0.3693416198726791	0.4069254411578666	0.0375838212851875	0.20269312544294826	0.22134831460674156	0.0186551891637933	0.5580237051861564	0.505824591974052	-0.05219911321210435	0.12577304601446815	0.1484021062258145	0.022629060211346363	0.7249615489007509	0.7767645769399386	0.05180302803918768	0.5958271864132993	0.6835603768843822	0.08773319047108286	0.7894507573223969	0.8569675898705325	0.06751683254813556	0.22092520536100302	0.2777222777222777	0.05679707236127468	0.577692756929443	0.6746720310674582	0.09697927413801521	0.19280105628117228	0.21540662737725286	0.02260557109608058
unseen_both	45	expression_regulons	Expression + regulons	0.3828599599015674	0.3909265843692107	0.00806662446764328	0.4113674356525687	0.3961287461016105	-0.015238689550958251	0.5771812161762996	0.6074091447230496	0.03022792854675005	0.3693416198726791	0.39395033838077703	0.024608718508097926	0.20269312544294826	0.19809322033898305	-0.004599905103965213	0.5580237051861564	0.54846360546565	-0.009560099720506421	0.12577304601446815	0.15002634825679112	0.02425330224232297	0.7249615489007509	0.7998362333674514	0.07487468446670043	0.5958271864132993	0.6466308682101183	0.050803681796818934	0.7894507573223969	0.8418762700865521	0.05242551276415519	0.22092520536100302	0.17485029940119762	-0.0460749059598054	0.577692756929443	0.6271329604933806	0.049440203563937635	0.19280105628117228	0.18994839679898787	-0.002852659482184411
unseen_both	45	pathways_regulons	Pathways + regulons	0.3828599599015674	0.39258856667771075	0.009728606776143345	0.4113674356525687	0.42254406085549384	0.011176625202925117	0.5771812161762996	0.602778377607908	0.025597161431608395	0.3693416198726791	0.3926329686221453	0.0232913487494662	0.20269312544294826	0.19572506286672256	-0.006968062576225703	0.5580237051861564	0.5132691677305822	-0.04475453745557423	0.12577304601446815	0.12700860939146014	0.0012355633769919883	0.7249615489007509	0.7228369056988102	-0.0021246432019407235	0.5958271864132993	0.6552425430418374	0.05941535662853803	0.7894507573223969	0.8358835685315431	0.04643281120914622	0.22092520536100302	0.2592037314675995	0.03827852610659649	0.577692756929443	0.6398234220513042	0.06213066512186116	0.19280105628117228	0.2150067279434326	0.022205671662260312
unseen_both	45	expression_pathways_regulons	Expression + pathways + regulons	0.3828599599015674	0.3987735782218225	0.01591361832025512	0.4113674356525687	0.45425588488451796	0.04288844923194923	0.5771812161762996	0.6444465211601081	0.06726530498380856	0.3693416198726791	0.4046788402430053	0.03533722037032622	0.20269312544294826	0.2723905723905724	0.06969744694762414	0.5580237051861564	0.6600310979607329	0.10200739277457649	0.12577304601446815	0.17697514658965263	0.051202100575184484	0.7249615489007509	0.7096864895262196	-0.01527505937453133	0.5958271864132993	0.6578635612757393	0.06203637486243996	0.7894507573223969	0.832095302650948	0.04264454532855111	0.22092520536100302	0.2142436727486757	-0.006681532612327318	0.577692756929443	0.6154449042438521	0.037752147314409124	0.19280105628117228	0.20496607148841536	0.012165015207243085
unseen_both	46	expression	Expression only	0.3993473867789095	0.38339624836182	-0.015951138417089505	0.4055248001313824	0.39664353323822077	-0.008881266893161655	0.5821680096656333	0.6033276318019545	0.021159622136321166	0.3865882011680993	0.39066812455528727	0.004079923387187989	0.1482537419814683	0.20246913580246914	0.05421539382100085	0.4888390454090611	0.5535379645284841	0.06469891911942305	0.1109609486151615	0.1379327479045397	0.026971799289378193	0.7938084112149533	0.7968451639684516	0.0030367527534983507	0.6227556677051853	0.6634371106758761	0.04068144297069076	0.8238660133178254	0.8533741783473583	0.029508165029532907	0.25598000714030705	0.15087444531453928	-0.10510556182576777	0.6349093158826533	0.5930078202015033	-0.04190149568114998	0.22493764157131096	0.18069744741396393	-0.044240194157347035
unseen_both	46	pathways	Pathways only	0.3993473867789095	0.451183198651232	0.0518358118723225	0.4055248001313824	0.482264471152354	0.07673967102097157	0.5821680096656333	0.6967947771888472	0.11462676752321388	0.3865882011680993	0.43532275522748387	0.048734554059384594	0.1482537419814683	0.27096461463887545	0.12271087265740716	0.4888390454090611	0.6631054397708844	0.17426639436182334	0.1109609486151615	0.18382983852914409	0.07286888991398259	0.7938084112149533	0.7733961676966167	-0.020412243518336592	0.6227556677051853	0.7119350328431623	0.08917936513797697	0.8238660133178254	0.861383550132498	0.037517536814672625	0.25598000714030705	0.30918881361820394	0.053208806477896886	0.6349093158826533	0.7153438589524949	0.08043454306984155	0.22493764157131096	0.2607548770208096	0.03581723544949861
unseen_both	46	regulons	Regulons only	0.3993473867789095	0.4269806174864211	0.027633230707511558	0.4055248001313824	0.4401202419847848	0.03459544185340235	0.5821680096656333	0.6194733015962129	0.03730529193057963	0.3865882011680993	0.41857061522472655	0.03198241405662727	0.1482537419814683	0.2698907956318253	0.12163705365035699	0.4888390454090611	0.6098973465373865	0.12105830112832539	0.1109609486151615	0.21875989190016543	0.10779894328500393	0.7938084112149533	0.78159757330637	-0.012210837908583239	0.6227556677051853	0.6336280756893615	0.010872407984176213	0.8238660133178254	0.8343675462473952	0.01050153292956979	0.25598000714030705	0.229453483521068	-0.026526523619239045	0.6349093158826533	0.6148944825618906	-0.020014833320762704	0.22493764157131096	0.202584407526619	-0.022353234044691972
unseen_both	46	expression_regulons	Expression + regulons	0.3993473867789095	0.4320265869732449	0.0326792001943354	0.4055248001313824	0.4535969984002972	0.04807219826891479	0.5821680096656333	0.6351382525715782	0.052970242905944875	0.3865882011680993	0.3992749733342687	0.012686772166169424	0.1482537419814683	0.2861977278220933	0.137943985840625	0.4888390454090611	0.6232639056623305	0.13442486025326938	0.1109609486151615	0.1917846804470861	0.08082373183192461	0.7938084112149533	0.790502188136401	-0.0033062230785522173	0.6227556677051853	0.6478039743537894	0.025048306648604135	0.8238660133178254	0.8087066037559749	-0.015159409561850468	0.25598000714030705	0.2193798449612403	-0.03660016217906675	0.6349093158826533	0.6343468776986148	-0.0005624381840385606	0.22493764157131096	0.19733363579974494	-0.02760400577156602
unseen_both	46	pathways_regulons	Pathways + regulons	0.3993473867789095	0.40195912926595817	0.0026117424870486516	0.4055248001313824	0.4104678663961361	0.004943066264753659	0.5821680096656333	0.6004322306691233	0.01826422100349001	0.3865882011680993	0.39634476477450403	0.009756563606404756	0.1482537419814683	0.21417644059153493	0.06592269861006664	0.4888390454090611	0.5523399813671026	0.06350093595804152	0.1109609486151615	0.14906733912739736	0.03810639051223587	0.7938084112149533	0.7838108762843539	-0.009997534930599405	0.6227556677051853	0.6416108346724053	0.018855166967220005	0.8238660133178254	0.8469206670480988	0.023054653730273378	0.25598000714030705	0.2078900709219858	-0.04808993621832125	0.6349093158826533	0.6073458759678618	-0.027563439914791488	0.22493764157131096	0.19304628814801614	-0.03189135342329483
unseen_both	46	expression_pathways_regulons	Expression + pathways + regulons	0.3993473867789095	0.38807960619460574	-0.011267780584303777	0.4055248001313824	0.4076658095796182	0.0021410094482357533	0.5821680096656333	0.6004148316382708	0.018246821972637495	0.3865882011680993	0.3769723598590265	-0.009615841309072781	0.1482537419814683	0.19765807962529275	0.04940433764382446	0.4888390454090611	0.5745269314378385	0.08568788602877742	0.1109609486151615	0.13680286280148396	0.025841914186322465	0.7938084112149533	0.7479667449846377	-0.0458416662303156	0.6227556677051853	0.6378627624796607	0.01510709477447536	0.8238660133178254	0.8116871978741877	-0.012178815443637636	0.25598000714030705	0.21861399397388684	-0.037366013166420214	0.6349093158826533	0.5888548009973132	-0.04605451488534007	0.22493764157131096	0.18242701890140783	-0.04251062266990313
