holdout	context_config	context_label	metric	n_pairs	mean_delta	sd_delta	median_delta	min_delta	max_delta	n_improved	n_worsened	wilcoxon_statistic	wilcoxon_p
unseen_both	expression	Expression only	test_synergy_auroc	5	0.013377692527894247	0.047538263684007896	0.031050217809296843	-0.04190149568114998	0.07392349711208634	3	2	5.0	0.625
unseen_both	expression	Expression only	test_synergy_auprc	5	-0.0015711481208785683	0.029216596032037148	0.008561510599385508	-0.044240194157347035	0.025387077269064945	3	2	7.0	1.0
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_macro_f1	5	0.0015481678481841011	0.022117620899271846	0.010349091680326272	-0.030600365214460357	0.023346275039103248	3	2	7.0	1.0
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_balanced_accuracy	5	0.0033243776409033086	0.03249637981799608	0.0021410094482357533	-0.04542808374696272	0.04288844923194923	3	2	6.0	0.8125
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_macro_ovr_auroc	5	0.014043065740571547	0.04653796497542843	0.021750159926335222	-0.06113974027338398	0.06726530498380856	4	1	4.0	0.4375
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_macro_auprc	5	0.003009475749552337	0.026634793640650113	0.00933424888936607	-0.03504865377012212	0.03533722037032622	3	2	6.0	0.8125
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_antagonism_f1	5	0.008295851857593035	0.06809636829119571	0.017898029269156485	-0.10568961775521574	0.06969744694762414	4	1	5.0	0.625
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_antagonism_auroc	5	0.0261454487422794	0.08091814184565713	0.029323436044304874	-0.10346990269486911	0.10200739277457649	4	1	5.0	0.625
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_antagonism_auprc	5	0.0035087008629522604	0.045590007612991895	0.006491734626809298	-0.07085282359369408	0.051202100575184484	4	1	5.0	0.625
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_no_interaction_f1	5	0.002287886878058454	0.03512450239926031	0.003172134608376509	-0.0458416662303156	0.04491881761819272	3	2	7.0	1.0
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_no_interaction_auroc	5	0.014667066148437224	0.03490730435009628	0.01510709477447536	-0.03244626568275766	0.06203637486243996	3	2	5.0	0.625
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_no_interaction_auprc	5	0.010513445122329101	0.02752692997499736	-0.002508919438800161	-0.013264094335211696	0.04264454532855111	2	3	6.0	0.8125
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_synergy_f1	5	-0.005939235191099146	0.03017498283701892	-0.006681532612327318	-0.037366013166420214	0.03540455416616406	2	3	6.0	0.8125
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_synergy_auroc	5	0.0013166823309980647	0.04476874359519223	0.019432958523050714	-0.04750305244252506	0.04295587314539562	3	2	6.0	0.8125
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	test_synergy_auprc	5	-0.004993718736624381	0.02707038714007314	0.0007549695742396223	-0.04251062266990313	0.02565108758675924	3	2	7.0	1.0
unseen_both	expression_regulons	Expression + regulons	test_macro_f1	5	0.009653923934436237	0.022663335928169038	0.011073808188891643	-0.026860533671701492	0.0326792001943354	4	1	4.0	0.4375
unseen_both	expression_regulons	Expression + regulons	test_balanced_accuracy	5	0.009403277657616138	0.03419347545008875	0.01527049267361047	-0.0347633178259551	0.04807219826891479	3	2	5.0	0.625
unseen_both	expression_regulons	Expression + regulons	test_macro_ovr_auroc	5	0.01708244801772052	0.045243971757603675	0.03022792854675005	-0.060287366738103865	0.052970242905944875	4	1	5.0	0.625
unseen_both	expression_regulons	Expression + regulons	test_macro_auprc	5	0.0037963697531374296	0.024465329417816265	0.012686772166169424	-0.03717554247301613	0.024608718508097926	4	1	5.0	0.625
unseen_both	expression_regulons	Expression + regulons	test_antagonism_f1	5	0.032513702936263295	0.08570137756940222	0.03522492117748757	-0.08772364212671749	0.137943985840625	3	2	5.0	0.625
unseen_both	expression_regulons	Expression + regulons	test_antagonism_auroc	5	0.029270310720817105	0.1054547710313294	0.04069791415065038	-0.1295311583451227	0.13442486025326938	3	2	5.0	0.625
unseen_both	expression_regulons	Expression + regulons	test_antagonism_auprc	5	0.019396298817683986	0.0588564330073532	0.02425330224232297	-0.07729682902579427	0.08082373183192461	4	1	4.0	0.4375
unseen_both	expression_regulons	Expression + regulons	test_no_interaction_f1	5	0.009699853380291024	0.03744417603210337	-0.0018288689146803705	-0.021405131287248302	0.07487468446670043	2	3	6.0	0.8125
unseen_both	expression_regulons	Expression + regulons	test_no_interaction_auroc	5	0.0023879544063274637	0.03942911554589401	0.009741345391972356	-0.047582781523495044	0.050803681796818934	3	2	7.0	1.0
unseen_both	expression_regulons	Expression + regulons	test_no_interaction_auprc	5	-0.0022405292372380758	0.033624561775291696	-0.015159409561850468	-0.03343704122724267	0.05242551276415519	2	3	6.0	0.8125
unseen_both	expression_regulons	Expression + regulons	test_synergy_f1	5	-0.013251784513245652	0.029594418110621606	-0.00996272450016944	-0.0460749059598054	0.028547172398861453	1	4	3.0	0.3125
