feature	n_drugs_active	fraction_drugs_active
morgan_0265	133	0.0162353515625
morgan_0266	39	0.0047607421875
morgan_0267	97	0.0118408203125
morgan_0268	85	0.0103759765625
morgan_0269	60	0.00732421875
morgan_0270	131	0.0159912109375
morgan_0271	75	0.0091552734375
morgan_0272	75	0.0091552734375
morgan_0273	95	0.0115966796875
morgan_0274	43	0.0052490234375
morgan_0275	65	0.0079345703125
morgan_0276	119	0.0145263671875
morgan_0277	94	0.011474609375
morgan_0278	71	0.0086669921875
morgan_0279	36	0.00439453125
morgan_0280	68	0.00830078125
morgan_0281	124	0.01513671875
morgan_0282	101	0.0123291015625
morgan_0283	1189	0.1451416015625
morgan_0284	158	0.019287109375
morgan_0285	62	0.007568359375
morgan_0286	50	0.006103515625
morgan_0287	44	0.00537109375
morgan_0288	69	0.0084228515625
morgan_0289	371	0.0452880859375
morgan_0290	46	0.005615234375
morgan_0291	57	0.0069580078125
morgan_0292	48	0.005859375
morgan_0293	57	0.0069580078125
morgan_0294	1391	0.1697998046875
morgan_0295	101	0.0123291015625
morgan_0296	91	0.0111083984375
morgan_0297	74	0.009033203125
morgan_0298	82	0.010009765625
morgan_0299	47	0.0057373046875
morgan_0300	40	0.0048828125
morgan_0301	192	0.0234375
morgan_0302	39	0.0047607421875
morgan_0303	37	0.0045166015625
morgan_0304	57	0.0069580078125
morgan_0305	400	0.048828125
morgan_0306	42	0.005126953125
morgan_0307	126	0.015380859375
morgan_0308	52	0.00634765625
morgan_0309	180	0.02197265625
morgan_0310	827	0.1009521484375
morgan_0311	63	0.0076904296875
morgan_0312	60	0.00732421875
morgan_0313	114	0.013916015625
morgan_0314	2354	0.287353515625
morgan_0315	172	0.02099609375
morgan_0316	80	0.009765625
morgan_0317	120	0.0146484375
morgan_0318	125	0.0152587890625
morgan_0319	420	0.05126953125
morgan_0320	34	0.004150390625
morgan_0321	49	0.0059814453125
morgan_0322	972	0.11865234375
morgan_0323	301	0.0367431640625
morgan_0324	41	0.0050048828125
morgan_0325	189	0.0230712890625
morgan_0326	85	0.0103759765625
morgan_0327	107	0.0130615234375
morgan_0328	171	0.0208740234375
morgan_0329	225	0.0274658203125
morgan_0330	37	0.0045166015625
morgan_0331	70	0.008544921875
morgan_0332	64	0.0078125
morgan_0333	234	0.028564453125
morgan_0334	122	0.014892578125
morgan_0335	266	0.032470703125
morgan_0336	44	0.00537109375
morgan_0337	27	0.0032958984375
morgan_0338	145	0.0177001953125
morgan_0339	116	0.01416015625
morgan_0340	60	0.00732421875
morgan_0341	104	0.0126953125
morgan_0342	63	0.0076904296875
morgan_0343	134	0.016357421875
morgan_0344	90	0.010986328125
morgan_0345	115	0.0140380859375
morgan_0346	40	0.0048828125
morgan_0347	49	0.0059814453125
morgan_0348	71	0.0086669921875
morgan_0349	61	0.0074462890625
morgan_0350	879	0.1072998046875
morgan_0351	109	0.0133056640625
morgan_0352	913	0.1114501953125
morgan_0353	57	0.0069580078125
morgan_0354	157	0.0191650390625
morgan_0355	71	0.0086669921875
morgan_0356	37	0.0045166015625
morgan_0357	77	0.0093994140625
morgan_0358	46	0.005615234375
morgan_0359	71	0.0086669921875
morgan_0360	65	0.0079345703125
morgan_0361	405	0.0494384765625
morgan_0362	91	0.0111083984375
morgan_0363	97	0.0118408203125
morgan_0364	127	0.0155029296875
morgan_0365	59	0.0072021484375
morgan_0366	622	0.075927734375
morgan_0367	59	0.0072021484375
morgan_0368	81	0.0098876953125
morgan_0369	99	0.0120849609375
morgan_0370	108	0.01318359375
morgan_0371	182	0.022216796875
morgan_0372	61	0.0074462890625
morgan_0373	105	0.0128173828125
morgan_0374	52	0.00634765625
morgan_0375	41	0.0050048828125
morgan_0376	73	0.0089111328125
