drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
103	Sorafenib tosylate	original	63	0.03076171875	43.0	43.0	2.0	637.0360000000003	0.0
104	streptozocin	original	35	0.01708984375	18.0	18.0	1.0	265.222	0.0
105	Tamoxifen citrate	original	47	0.02294921875	41.0	41.0	2.0	563.6470000000004	0.0
106	teniposide	original	76	0.037109375	46.0	46.0	1.0	656.6620000000005	0.0
107	thalidomide	original	29	0.01416015625	19.0	19.0	1.0	258.233	0.0
108	6-Thioguanine	original	26	0.0126953125	11.0	11.0	1.0	167.197	0.0
109	thiotepa	original	11	0.00537109375	11.0	11.0	1.0	189.22399999999996	0.0
110	TOPOTECAN HYDROCHLORIDE	original	64	0.03125	32.0	32.0	2.0	457.91400000000016	0.0
111	Retinoic acid	original	39	0.01904296875	22.0	22.0	1.0	300.44200000000006	0.0
112	Triethylenemelamine	original	12	0.005859375	15.0	15.0	1.0	204.23699999999994	0.0
113	Uramustine	original	27	0.01318359375	15.0	15.0	1.0	252.10099999999994	0.0
114	Valrubicin	original	89	0.04345703125	51.0	51.0	1.0	723.6500000000005	0.0
115	Vandetanib	original	57	0.02783203125	30.0	30.0	1.0	475.3620000000001	0.0
116	Vemurafenib	original	59	0.02880859375	33.0	33.0	1.0	489.9310000000001	0.0
117	Vinblastine sulfate	original	100	0.048828125	64.0	64.0	2.0	909.0680000000003	0.0
118	Vincristine sulfate	original	101	0.04931640625	65.0	65.0	2.0	923.0510000000004	0.0
119	Vinorelbine tartrate	original	104	0.05078125	77.0	77.0	3.0	1079.1190000000008	0.0
120	Vismodegib	original	48	0.0234375	27.0	27.0	1.0	421.30500000000006	0.0
121	Zoledronic acid	original	27	0.01318359375	16.0	16.0	1.0	272.09	0.0
122	L-778123 free base	original	54	0.0263671875	29.0	29.0	1.0	405.8890000000001	0.0
123	Eloxatin (TN)	original	18	0.0087890625	15.0	15.0	3.0	397.288	0.0
124	Epirubicin	original	71	0.03466796875	39.0	39.0	1.0	543.5250000000003	0.0
125	Trisenox	original	2	0.0009765625	5.0	5.0	5.0	197.841	0.0
126	dichloroplatinum diammoniate	original	6	0.0029296875	5.0	5.0	1.0	298.03	0.0
127	IDARUBICIN	original	60	0.029296875	36.0	36.0	1.0	497.5000000000002	0.0
128	DESOXYCORTICOSTERONE PIVALATE	original	53	0.02587890625	30.0	30.0	1.0	414.5860000000003	0.0
