source	n_targets	mean_abs_prior_weight
SPDEF	19	1.0
PAX7	19	1.0
FOXJ1	19	1.0
NFKBIB	19	1.0
ERF	19	1.0
NKX6-1	19	1.0
NRL	19	1.0
FOXC1	19	1.0
ZFP42	19	1.0
DMTF1	18	1.0
MBD1	18	1.0
PTF1A	18	1.0
HLF	18	1.0
RFXANK	18	1.0
SPIB	18	1.0
FOXQ1	18	1.0
SOX5	18	1.0
KDM5A	18	1.0
HTATIP2	17	1.0
JARID2	17	1.0
TRPS1	17	1.0
NR2E1	17	1.0
MED1	17	1.0
ZIC1	17	1.0
ZNF331	17	1.0
FOXG1	17	1.0
PHOX2B	17	1.0
LRRFIP1	17	1.0
TRERF1	16	1.0
ZFPM1	16	1.0
ZBTB7B	16	1.0
KCNIP3	16	1.0
TCF21	16	1.0
RFXAP	16	1.0
BATF	16	1.0
RCOR2	16	1.0
BACH1	16	1.0
SMARCA5	16	1.0
BARX2	16	1.0
HOXA13	16	1.0
MLXIPL	16	1.0
IRF6	16	1.0
HLX	16	1.0
BCL11A	16	1.0
TEF	16	1.0
CREB3	16	1.0
ZFHX3	16	1.0
HOXA5	16	1.0
CTBP2	16	1.0
NEUROG1	16	1.0
KLF3	15	1.0
FOXD3	15	1.0
KMT2B	15	1.0
KAT2B	15	1.0
ID4	15	1.0
TET1	15	1.0
HOXC8	15	1.0
TFAM	15	1.0
HAND1	15	1.0
ATOH1	15	1.0
EGR4	15	1.0
NR2E3	15	1.0
ING4	15	1.0
NR6A1	15	1.0
RXRB	15	1.0
HOXA7	14	1.0
GSC	14	1.0
TBX1	14	1.0
LHX3	14	1.0
NR2F6	14	1.0
DEAF1	14	1.0
MTA3	14	1.0
FOXH1	14	1.0
KLF13	14	1.0
ZNF236	14	1.0
FOXA3	14	1.0
ZKSCAN7	14	1.0
ZBTB4	14	1.0
ETV7	14	1.0
MYF6	14	1.0
LYL1	13	1.0
TGFB1I1	13	1.0
NEUROD2	13	1.0
PHOX2A	13	1.0
EHF	13	1.0
PROP1	13	1.0
HDAC7	13	1.0
TBX18	13	1.0
FOXF2	13	1.0
GFI1B	13	1.0
HOXB2	13	1.0
HOXB13	13	1.0
KDM5C	13	1.0
SCX	13	1.0
SOX11	12	1.0
HOXC6	12	1.0
NPM1	12	1.0
ARID4B	12	1.0
E2F5	12	1.0
SF1	12	1.0
CREB5	12	1.0
TGIF1	12	1.0
SIM2	12	1.0
CTCFL	12	1.0
SIN3A	12	1.0
MYBL1	12	1.0
SIX3	12	1.0
KAT6A	12	1.0
TEAD4	12	1.0
ZFPM2	12	1.0
LHX8	12	1.0
ESRRB	12	1.0
SRSF2	12	1.0
TBXT	12	1.0
ZGPAT	12	1.0
PATZ1	12	1.0
ATOH7	12	1.0
PRDM2	12	1.0
ETV3	12	1.0
EN1	11	1.0
HSF4	11	1.0
HOXB1	11	1.0
PBX2	11	1.0
ZNF382	11	1.0
TBX6	11	1.0
FOXP2	11	1.0
BRD4	11	1.0
HOXB4	11	1.0
KLF7	11	1.0
MNT	11	1.0
HNF4G	11	1.0
ZBTB33	11	1.0
ELF5	11	1.0
ELF2	11	1.0
NEUROD6	11	1.0
NOTO	11	1.0
KLF12	11	1.0
HIVEP2	11	1.0
SALL3	11	1.0
GCM1	11	1.0
CREB3L1	11	1.0
ZHX2	11	1.0
NKRF	10	1.0
CTBP1	10	1.0
ZNF350	10	1.0
NPAS2	10	1.0
MYRF	10	1.0
PAX9	10	1.0
ASCL2	10	1.0
ZNF263	10	1.0
OVOL1	10	1.0
ZNF804A	10	1.0
ABL1	10	1.0
HIVEP1	10	1.0
HINFP	10	1.0
KDM2A	10	1.0
EMX2	10	1.0
FGF2	10	1.0
HMGB2	10	1.0
