source	target	prior_weight	rho	abs_rho
MEIS2	CDKN2A	1.0	0.06025322462624173	0.06025322462624173
MEIS2	CDH1	1.0	-0.12019479787303626	0.12019479787303626
MEIS2	PAX6	1.0	0.14878210453547547	0.14878210453547547
MEIS2	TGFBR2	-1.0	0.05545367142134163	0.05545367142134163
MEIS2	CDKN2B	1.0	0.06334471973924063	0.06334471973924063
MEIS3	PDK1	1.0	-0.1283340664204058	0.1283340664204058
MEIS3	TSHZ1	1.0	0.049777026206116876	0.049777026206116876
MEIS3	SHH	1.0	-0.059280003610082135	0.059280003610082135
MEOX1	NKX3-2	1.0	0.09963827667888774	0.09963827667888774
MEOX1	EYA2	1.0	0.1506670628197138	0.1506670628197138
MEOX1	CDKN1A	1.0	-0.04801524828146323	0.04801524828146323
MEOX1	CDKN2A	1.0	0.10700098651843362	0.10700098651843362
MEOX1	GLI2	1.0	0.2632539311803685	0.2632539311803685
MEOX1	FOXC1	-1.0	0.1455685960980557	0.1455685960980557
MEOX1	FOXC2	-1.0	0.21367538476346817	0.21367538476346817
MEOX1	GLI1	1.0	0.1810549653288038	0.1810549653288038
MEOX2	CDKN1A	1.0	0.10312105995289995	0.10312105995289995
MEOX2	NKX3-2	1.0	0.20933699878170586	0.20933699878170586
MEOX2	RNF10	1.0	0.04793872211627251	0.04793872211627251
MEOX2	MYF5	1.0	0.13059715968781646	0.13059715968781646
MEOX2	CDKN2A	1.0	0.125925140093597	0.125925140093597
MEOX2	BCL2	-1.0	-0.014123465232149779	0.014123465232149779
MEOX2	BAX	1.0	0.09770110330388496	0.09770110330388496
MESP1	DKK1	1.0	-0.02758661788738347	0.02758661788738347
MESP2	LFNG	1.0	0.044732850416591	0.044732850416591
MESP2	EPHA4	1.0	0.11788116622853624	0.11788116622853624
MESP2	RIPPLY2	1.0	0.16486122929703897	0.16486122929703897
MESP2	NOTCH1	-1.0	-0.105963877138496	0.105963877138496
MESP2	PCDH8	1.0	0.06786348092434734	0.06786348092434734
MESP2	DLL1	-1.0	-0.003133179271656074	0.003133179271656074
MESP2	UNCX	-1.0	0.03718593932654046	0.03718593932654046
MESP2	PAX3	1.0	0.07832915723357561	0.07832915723357561
MID2	JUN	1.0	0.33467260725419656	0.33467260725419656
MIER1	APOF	1.0	-0.07271731260758053	0.07271731260758053
MITF	TPSB2	1.0	-0.034167069318049595	0.034167069318049595
MITF	PAX3	1.0	0.2273585853686957	0.2273585853686957
MITF	TYR	1.0	0.15125582114676475	0.15125582114676475
MITF	MC1R	1.0	0.16527696525662913	0.16527696525662913
MITF	CD40	1.0	0.0549111010335881	0.0549111010335881
MITF	TBX2	1.0	0.3600765445627828	0.3600765445627828
MITF	KIT	1.0	0.0929892201086122	0.0929892201086122
MITF	TPSD1	1.0	-0.06134353548192812	0.06134353548192812
MITF	TYRP1	1.0	0.31035318214002044	0.31035318214002044
MITF	PRF1	1.0	-0.29960454316273605	0.29960454316273605
MITF	DCT	1.0	0.10785290181095673	0.10785290181095673
MITF	CTSK	1.0	0.20609778750077107	0.20609778750077107
MITF	TPSG1	1.0	0.06355217191097683	0.06355217191097683
MITF	ACP5	1.0	0.22425870537263598	0.22425870537263598
MITF	CDH1	1.0	0.07004027309131623	0.07004027309131623
MITF	BCL2	1.0	-0.1255981126731951	0.1255981126731951
MITF	GSK3B	1.0	0.1364935555663674	0.1364935555663674
MITF	TPH1	1.0	-0.19316021128081012	0.19316021128081012
MITF	SNAI2	1.0	0.40740790948127675	0.40740790948127675
MITF	OSCAR	1.0	-0.02393151847149158	0.02393151847149158
MITF	PAX6	-1.0	0.0897604179230962	0.0897604179230962
MITF	MLANA	1.0	0.13438879456864058	0.13438879456864058
MITF	XRCC1	1.0	-0.04328301106985765	0.04328301106985765
MITF	FOS	1.0	0.18167526485547567	0.18167526485547567
MITF	TRPM1	1.0	0.11307231927084146	0.11307231927084146
MITF	BEST1	1.0	0.4051113335625408	0.4051113335625408
MITF	HPGDS	1.0	-0.05741177634195846	0.05741177634195846
MITF	CDKN2A	-1.0	-0.030995114168764812	0.030995114168764812
MITF	CDKN1A	1.0	0.21914965732698063	0.21914965732698063
MITF	SERPINE1	1.0	0.3358638103236979	0.3358638103236979
MITF	INHBA	1.0	0.34060087321386856	0.34060087321386856
MITF	HIF1A	1.0	0.39366924975885326	0.39366924975885326
MITF	BRAF	1.0	-0.0977553614843793	0.0977553614843793
MITF	PIAS3	1.0	0.18517478406622684	0.18517478406622684
MITF	HGF	1.0	-0.012552865421212474	0.012552865421212474
MITF	NPPB	1.0	0.2137974692058417	0.2137974692058417
MITF	OSTM1	1.0	0.45082978836268783	0.45082978836268783
MITF	TNFSF11	1.0	-0.013523487046031471	0.013523487046031471
MITF	CLCN7	1.0	0.16636407873801057	0.16636407873801057
MITF	AKT1	1.0	0.07744207437427328	0.07744207437427328
MITF	TNFRSF11A	1.0	0.10103661368682125	0.10103661368682125
MITF	DIAPH1	1.0	-0.037231832129837696	0.037231832129837696
MITF	CDKN1B	-1.0	-0.09009998195632583	0.09009998195632583
MITF	PER1	1.0	-0.1266931455402246	0.1266931455402246
MITF	MET	1.0	0.4334830192491723	0.4334830192491723
MITF	MYL4	1.0	-0.03739594532451329	0.03739594532451329
MITF	RAB27A	1.0	0.31021999176496323	0.31021999176496323
MITF	CMA1	1.0	-0.08947122919987101	0.08947122919987101
MITF	BIRC7	1.0	0.23409738715556225	0.23409738715556225
MITF	MAPK1	1.0	0.16138494664231842	0.16138494664231842
MITF	HINT1	1.0	0.0933504955845746	0.0933504955845746
MITF	SMARCA4	1.0	-0.2551894273782078	0.2551894273782078
MITF	ATP6V1B2	1.0	0.16867323825778605	0.16867323825778605
MITF	DIO2	1.0	0.2933622492428041	0.2933622492428041
MITF	SPIB	1.0	-0.28468705392593646	0.28468705392593646
MITF	TKT	1.0	0.26022987354003985	0.26022987354003985
MITF	KRAS	1.0	-0.082428854917369	0.082428854917369
MITF	DICER1	1.0	-0.11745862262716736	0.11745862262716736
MITF	CDK6	1.0	0.06324199396316747	0.06324199396316747
MITF	KCNMA1	1.0	0.1495504704958814	0.1495504704958814
MITF	LYN	1.0	-0.09147148594336554	0.09147148594336554
MITF	PIK3R1	1.0	-0.0634094013061236	0.0634094013061236
MITF	PAEP	1.0	0.28261716526165376	0.28261716526165376
MITF	DCSTAMP	1.0	0.08679988319520487	0.08679988319520487
MITF	OCA2	1.0	0.06661063293185282	0.06661063293185282
MITF	NOX4	1.0	0.2358142200912444	0.2358142200912444
MITF	VEGFA	1.0	0.16965103222457595	0.16965103222457595
MITF	IGF1	1.0	0.1044104799069357	0.1044104799069357
MITF	SPP1	1.0	0.3194210675194924	0.3194210675194924
MITF	ATP6V0D2	1.0	0.3913369335640155	0.3913369335640155
MITF	HOXA1	1.0	0.19583366040221767	0.19583366040221767
MITF	PPARGC1A	1.0	0.2840171693069758	0.2840171693069758
MITF	INS	1.0	-0.08935088376618786	0.08935088376618786
MITF	SLC2A2	1.0	0.13877588902892993	0.13877588902892993
MITF	PAX4	-1.0	-0.10499565974219681	0.10499565974219681
MITF	TG	1.0	-0.012798790691572812	0.012798790691572812
MITF	SBNO2	1.0	0.2839206005552394	0.2839206005552394
MITF	CSF1	1.0	0.42318171163475865	0.42318171163475865
MITF	IFNG	1.0	-0.1995610838136232	0.1995610838136232
MITF	PRKACA	1.0	0.13574298250107136	0.13574298250107136
MITF	GNG2	1.0	0.008192303046595073	0.008192303046595073
MITF	HP	1.0	-0.11302474581434191	0.11302474581434191
MITF	TNFRSF1B	1.0	-0.09469453902694974	0.09469453902694974
MITF	GZMB	1.0	0.027060974737720303	0.027060974737720303
MITF	HOXB4	1.0	0.056009739647871815	0.056009739647871815
MITF	BCL2A1	-1.0	0.12771205450930087	0.12771205450930087
MITF	CDK2	1.0	0.13988912051591712	0.13988912051591712
MITF	GPNMB	1.0	0.4072191846090267	0.4072191846090267
MITF	HERC2	1.0	-0.016894881902181396	0.016894881902181396
MITF	PMEL	1.0	0.2421115435002246	0.2421115435002246
MITF	PRKCB	1.0	-0.17520710198209447	0.17520710198209447
