source	n_prior_targets	n_evaluated_nonself_targets	n_supported_targets	mean_abs_rho	median_abs_rho	max_abs_rho	fraction_supported
TCF4	58	58	36	0.17114132267390897	0.1464550231234698	0.4773537375314853	0.6206896551724138
NKX3-1	72	71	36	0.16591381795412544	0.10739676365318988	0.4826786752445871	0.5070422535211268
NEUROD1	72	71	36	0.11834386990891488	0.10109855610302251	0.3664520952607229	0.5070422535211268
NCOA3	75	74	36	0.1049313841459872	0.0958810011981218	0.33559834216020845	0.4864864864864865
BCL6	99	98	36	0.09274030092293742	0.07869106864723824	0.3445877861684543	0.3673469387755102
STAT2	49	49	35	0.1873376983817987	0.17344786819974578	0.5405127149909955	0.7142857142857143
MTA1	53	52	35	0.1669285209779711	0.14867338149049214	0.5340748606243773	0.6730769230769231
KLF6	60	60	35	0.15313437854724507	0.13685637387564714	0.5118265773592952	0.5833333333333334
EWSR1	59	58	35	0.17114282272844633	0.13152481199261568	0.7655251404729737	0.603448275862069
TBX21	54	53	35	0.13178679138097463	0.12343863919538782	0.2960455925758619	0.660377358490566
IRF8	69	68	35	0.1285975472590276	0.11076539742063332	0.4733384696780451	0.5147058823529411
MEF2C	90	89	35	0.10300184235308898	0.07379276567672036	0.3888328579878652	0.39325842696629215
JUND	108	107	35	0.07779796848712522	0.07327586619298589	0.23104826654021876	0.32710280373831774
POU5F1	91	90	35	0.09411187935787038	0.0725519562096589	0.3588690552662948	0.3888888888888889
ATF3	110	109	35	0.09186780444480107	0.07206393357126469	0.3886057957195401	0.3211009174311927
DNMT3A	61	60	34	0.15124964702368854	0.13101935232061407	0.5100199603638944	0.5666666666666667
THRB	58	57	34	0.1450606590124268	0.12017981607969731	0.4305596743442321	0.5964912280701754
PBX1	62	61	34	0.12596072812107206	0.11907102080965538	0.3973961157309607	0.5573770491803278
ARNT	67	66	34	0.12078892650414641	0.10149640796326334	0.3929685824757208	0.5151515151515151
NR2F2	79	78	34	0.1229307537669414	0.08398988052094386	0.49355625183954965	0.4358974358974359
SMAD2	107	107	34	0.09777969923545304	0.07114406955217618	0.6719288159194416	0.3177570093457944
E2F6	41	41	33	0.23966838978509286	0.2319029061883671	0.5335782868390117	0.8048780487804879
RARB	53	52	33	0.132630684406705	0.1304100326558939	0.30414414013402025	0.6346153846153846
GFI1	55	54	33	0.15356098071761115	0.12156409797768838	0.48372830088790186	0.6111111111111112
RORA	89	88	33	0.09027835550666855	0.07597235115251952	0.32830892175994814	0.375
MAZ	48	47	32	0.17300362757329485	0.13637462877680806	0.5645916437584071	0.6808510638297872
RELB	58	57	32	0.16844173231944867	0.12142403931896978	0.6945464515971809	0.5614035087719298
IRF4	59	58	32	0.15255151145195034	0.11711395555020221	0.49883296317446585	0.5517241379310345
