holdout	metric	context_a	context_b	seed	a	b	delta_b_minus_a
unseen_cell_line	test_macro_f1	expression_programs	regulons_programs	43	0.4619110669121669	0.4733953624980412	0.011484295585874327
unseen_cell_line	test_macro_f1	expression_programs	regulons_programs	44	0.45173835755840597	0.474601605804346	0.02286324824594005
unseen_cell_line	test_macro_f1	expression_programs	regulons_programs	45	0.46431103976193583	0.46146972180094775	-0.0028413179609880768
unseen_cell_line	test_macro_f1	expression_programs	regulons_programs	46	0.46095659146791507	0.444894882492171	-0.01606170897574405
unseen_cell_line	test_balanced_accuracy	expression_programs	regulons_programs	42	0.5321595346926845	0.5493442800570277	0.017184745364343224
unseen_cell_line	test_balanced_accuracy	expression_programs	regulons_programs	43	0.5395745061904837	0.5351182461259968	-0.004456260064486961
unseen_cell_line	test_balanced_accuracy	expression_programs	regulons_programs	44	0.5251704817941367	0.5495163892013868	0.024345907407250067
unseen_cell_line	test_balanced_accuracy	expression_programs	regulons_programs	45	0.5358212225117976	0.5529767690825395	0.01715554657074181
unseen_cell_line	test_balanced_accuracy	expression_programs	regulons_programs	46	0.533008438882221	0.5438597629615302	0.01085132407930911
unseen_cell_line	test_macro_ovr_auroc	expression_programs	regulons_programs	42	0.704193663611116	0.7073881689264017	0.003194505315285645
unseen_cell_line	test_macro_ovr_auroc	expression_programs	regulons_programs	43	0.6890058193828498	0.7041771566688636	0.01517133728601383
unseen_cell_line	test_macro_ovr_auroc	expression_programs	regulons_programs	44	0.6893999806162286	0.7031749649681583	0.013774984351929698
unseen_cell_line	test_macro_ovr_auroc	expression_programs	regulons_programs	45	0.6969342529814483	0.7092465259619732	0.012312272980524952
unseen_cell_line	test_macro_ovr_auroc	expression_programs	regulons_programs	46	0.6923422387957179	0.7005391120413176	0.0081968732455997
unseen_cell_line	test_macro_auprc	expression_programs	regulons_programs	42	0.4663179307926583	0.45028594938738326	-0.016031981405275064
unseen_cell_line	test_macro_auprc	expression_programs	regulons_programs	43	0.4510026362602506	0.45867906840829686	0.007676432148046253
unseen_cell_line	test_macro_auprc	expression_programs	regulons_programs	44	0.44408239976930924	0.45313887928512037	0.009056479515811122
unseen_cell_line	test_macro_auprc	expression_programs	regulons_programs	45	0.446648002519986	0.45534282122566755	0.008694818705681562
unseen_cell_line	test_macro_auprc	expression_programs	regulons_programs	46	0.44956711469119676	0.4446750788841993	-0.00489203580699743
unseen_cell_line	test_antagonism_auprc	expression_programs	regulons_programs	42	0.22523802219949296	0.18777097271523682	-0.03746704948425614
unseen_cell_line	test_antagonism_auprc	expression_programs	regulons_programs	43	0.21070663624787533	0.21447541311809848	0.003768776870223145
unseen_cell_line	test_antagonism_auprc	expression_programs	regulons_programs	44	0.18842117967086364	0.1998036574696828	0.011382477798819152
unseen_cell_line	test_antagonism_auprc	expression_programs	regulons_programs	45	0.18680304488066146	0.20534285469017538	0.01853980980951392
unseen_cell_line	test_antagonism_auprc	expression_programs	regulons_programs	46	0.18970006847889398	0.17905344468039813	-0.010646623798495847
unseen_cell_line	test_synergy_auprc	expression_programs	regulons_programs	42	0.24618588580726633	0.23427677823155457	-0.011909107575711758
unseen_cell_line	test_synergy_auprc	expression_programs	regulons_programs	43	0.21198331388545769	0.2360548467267179	0.024071532841260207
unseen_cell_line	test_synergy_auprc	expression_programs	regulons_programs	44	0.22491563059535838	0.22711032713740492	0.0021946965420465425
unseen_cell_line	test_synergy_auprc	expression_programs	regulons_programs	45	0.2226111838613953	0.23010584928861333	0.007494665427218022
unseen_cell_line	test_synergy_auprc	expression_programs	regulons_programs	46	0.24008813227939316	0.2233303218873321	-0.016757810392061062
unseen_cell_line	test_macro_f1	expression_programs	expression_regulons_programs	42	0.4820550352986838	0.4621664395878704	-0.019888595710813417
unseen_cell_line	test_macro_f1	expression_programs	expression_regulons_programs	43	0.4619110669121669	0.46584886703170963	0.003937800119542756
unseen_cell_line	test_macro_f1	expression_programs	expression_regulons_programs	44	0.45173835755840597	0.44313496589783335	-0.008603391660572612
unseen_cell_line	test_macro_f1	expression_programs	expression_regulons_programs	45	0.46431103976193583	0.4603245949117984	-0.003986444850137438
unseen_cell_line	test_macro_f1	expression_programs	expression_regulons_programs	46	0.46095659146791507	0.4754965730935293	0.014539981625614207
unseen_cell_line	test_balanced_accuracy	expression_programs	expression_regulons_programs	42	0.5321595346926845	0.5394853629739441	0.007325828281259605
unseen_cell_line	test_balanced_accuracy	expression_programs	expression_regulons_programs	43	0.5395745061904837	0.5107347616247442	-0.028839744565739567
unseen_cell_line	test_balanced_accuracy	expression_programs	expression_regulons_programs	44	0.5251704817941367	0.5271025034976143	0.0019320217034776155
unseen_cell_line	test_balanced_accuracy	expression_programs	expression_regulons_programs	45	0.5358212225117976	0.5503968066038691	0.014575584092071492
unseen_cell_line	test_balanced_accuracy	expression_programs	expression_regulons_programs	46	0.533008438882221	0.5423983250015784	0.009389886119357316
unseen_cell_line	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	42	0.704193663611116	0.7060337691217901	0.0018401055106740394
unseen_cell_line	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	43	0.6890058193828498	0.6944432367375701	0.005437417354720364
unseen_cell_line	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	44	0.6893999806162286	0.6726136502334038	-0.016786330382824843
unseen_cell_line	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	45	0.6969342529814483	0.7000590322366725	0.0031247792552242526
unseen_cell_line	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	46	0.6923422387957179	0.7071174733522513	0.014775234556533401
unseen_cell_line	test_macro_auprc	expression_programs	expression_regulons_programs	42	0.4663179307926583	0.45353434084611827	-0.012783589946540053
