drugcomb_id	dname	inchikey	n_seed_symbols	n_symbols_mapped_to_ensembl	n_targets_in_huri	fraction_targets_in_huri	drug_target_status	seed_symbols	huri_target_ensembl
1243	CFTRinh-172	JIMHYXZZCWVCMI-ZSOIEALJSA-N	2	2	0	0.0	targets_known_but_none_in_huri	CFTR;NLRP3	
1244	Methylhydantoin-5-(D)	VMAQYKGITHDWKL-UWTATZPHSA-N	0	0	0		no_known_targets		
1245	ZCL278	XKZDWYDHEBCGCG-UHFFFAOYSA-N	1	1	1	1.0	targets_mapped_to_huri	CDC42	ENSG00000070831
1246	CHLOROGENIC ACID	CWVRJTMFETXNAD-JUHZACGLSA-N	3	3	2	0.6666666666666666	targets_mapped_to_huri	AKR1B1;AKR1B10;PTPN1	ENSG00000085662;ENSG00000196396
1247	TG003	BGVLELSCIHASRV-QPEQYQDCSA-N	4	4	4	1.0	targets_mapped_to_huri	BRD9;CLK1;CLK2;DYRK1A	ENSG00000028310;ENSG00000013441;ENSG00000176444;ENSG00000157540
1248	XL147	MQMKRQLTIWPEDM-UHFFFAOYSA-N	4	4	1	0.25	targets_mapped_to_huri	PIK3CA;PIK3CB;PIK3CD;PIK3CG	ENSG00000171608
1249	Apoptosis Activator 2	KGRJPLRFGLMQMV-UHFFFAOYSA-N	2	2	1	0.5	targets_mapped_to_huri	CES1;F12	ENSG00000198848
1250	VU 0357121	AHCYOTLTLQTPSU-UHFFFAOYSA-N	0	0	0		no_known_targets		
1251	1986-47-6	ZPEFMSTTZXJOTM-OULXEKPRSA-N	3	3	2	0.6666666666666666	targets_mapped_to_huri	KDM1A;MAOA;MAOB	ENSG00000004487;ENSG00000069535
1252	Tacrine hydrochloride	ZUFVXZVXEJHHBN-UHFFFAOYSA-N	5	5	3	0.6	targets_mapped_to_huri	ACHE;APP;BCHE;CHRNE;FTO	ENSG00000142192;ENSG00000114200;ENSG00000140718
1253	Sodium 4-aminosalicylate	FVVDKUPCWXUVNP-UHFFFAOYSA-M	0	0	0		no_known_targets		
1254	Efaproxiral sodium	SWDPIHPGORBMFR-UHFFFAOYSA-M	0	0	0		no_known_targets		
1255	284028-89-3	KLGQSVMIPOVQAX-UHFFFAOYSA-N	8	8	2	0.25	targets_mapped_to_huri	PARP1;PARP14;PARP2;PARP3;PARP4;TNKS;TNKS2;WNT3A	ENSG00000041880;ENSG00000173273
1256	30675-13-9	IDLAOWFFKWRNHB-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	UCHL3	
1257	883050-24-6	QUIIIYITNGOFEI-UHFFFAOYSA-N	3	3	1	0.3333333333333333	targets_mapped_to_huri	RGS16;RGS19;RGS4	ENSG00000171700
1258	ethionamide	AEOCXXJPGCBFJA-UHFFFAOYSA-N	0	0	0		no_known_targets		
1259	313516-66-4	FRPJSHKMZHWJBE-UHFFFAOYSA-N	2	2	2	1.0	targets_mapped_to_huri	PPARA;PPARG	ENSG00000186951;ENSG00000132170
1260	Stattic	ZRRGOUHITGRLBA-UHFFFAOYSA-N	2	2	1	0.5	targets_mapped_to_huri	HIF1A;STAT3	ENSG00000168610
1261	SRPIN340	DWFGGOFPIISJIT-UHFFFAOYSA-N	4	4	1	0.25	targets_mapped_to_huri	KDR;SRPK1;SRPK2;SRPK3	ENSG00000135250
1262	GSK3787	JFUIMTGOQCQTPF-UHFFFAOYSA-N	1	1	1	1.0	targets_mapped_to_huri	PPARD	ENSG00000112033
1263	SC-514	BMUACLADCKCNKZ-UHFFFAOYSA-N	2	2	0	0.0	targets_known_but_none_in_huri	HDAC6;IKBKB	
1264	681136-29-8	BHBOSTKQCZEAJM-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	FAAH	
1265	PR-619	ZXOBLNBVNROVLC-UHFFFAOYSA-N	0	0	0		no_known_targets		
1266	882257-11-6	LKZLGMAAKNEGCH-UHFFFAOYSA-N	0	0	0		no_known_targets		
1267	Necrostatin-1	TXUWMXQFNYDOEZ-UHFFFAOYSA-N	2	2	1	0.5	targets_mapped_to_huri	IDO1;RIPK1	ENSG00000137275
