training_name	normalized_name	drugcomb_id	drugcomb_reference_name	mapping_status	match_type
2-thiouracil	2-thiouracil	1232.0	2-thiouracil	mapped	exact
20-HYDROXYECDYSONE	20-hydroxyecdysone	1415.0	20-HYDROXYECDYSONE	mapped	exact
200484-11-3	200484-11-3	2301.0	200484-11-3	mapped	exact
201943-63-7	201943-63-7	4185.0	201943-63-7	mapped	exact
20439-47-8	20439-47-8	4626.0	20439-47-8	mapped	exact
207679-81-0	207679-81-0	1507.0	207679-81-0	mapped	exact
209410-46-8	209410-46-8	1282.0	209410-46-8	mapped	exact
209481-20-9	209481-20-9	1390.0	209481-20-9	mapped	exact
209984-56-5	209984-56-5	1652.0	209984-56-5	mapped	exact
209984-57-6	209984-57-6	1606.0	209984-57-6	mapped	exact
21102-95-4	21102-95-4	1107.0	21102-95-4	mapped	exact
211096-49-0	211096-49-0	2143.0	211096-49-0	mapped	exact
212631-79-3	212631-79-3	1480.0	212631-79-3	mapped	exact
217645-70-0	217645-70-0	2513.0	217645-70-0	mapped	exact
218137-86-1	218137-86-1	2806.0	218137-86-1	mapped	exact
219580-11-7	219580-11-7	440.0	219580-11-7	mapped	exact
219773-55-4	219773-55-4	2250.0	219773-55-4	mapped	exact
227088-94-0	227088-94-0	2703.0	227088-94-0	mapped	exact
23541-50-6	23541-50-6	60.0	23541-50-6	mapped	exact
251992-66-2	251992-66-2	1517.0	251992-66-2	mapped	exact
252003-65-9	252003-65-9	2069.0	252003-65-9	mapped	exact
252916-29-3	252916-29-3	3085.0	252916-29-3	mapped	exact
261901-57-9	261901-57-9	1702.0	261901-57-9	mapped	exact
264218-23-7	264218-23-7	1290.0	264218-23-7	mapped	exact
27726-35-8	27726-35-8	3340.0	27726-35-8	mapped	exact
278779-30-9	278779-30-9	1538.0	278779-30-9	mapped	exact
280744-09-4	280744-09-4	1095.0	280744-09-4	mapped	exact
284028-89-3	284028-89-3	1255.0	284028-89-3	mapped	exact
288150-92-5	288150-92-5	1291.0	288150-92-5	mapped	exact
289483-69-8	289483-69-8	4173.0	289483-69-8	mapped	exact
29883-15-6	29883-15-6	3300.0	29883-15-6	mapped	exact
3'-Epi Gemcitabine (Gemcitabine Impurity)	3'-epi gemcitabine (gemcitabine impurity)	4621.0	3'-Epi Gemcitabine (Gemcitabine Impurity)	mapped	exact
3,3'-Diindolylmethane	3,3'-diindolylmethane	2761.0	3,3'-Diindolylmethane	mapped	exact
